,Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
0,Franklin India Smaller Companies Fund - Growth,Regular,Small Cap Fund,5,"14,460.02",0.0064,-0.020099999999999996,0.003,0.18710000000000002,0.2595,0.40259999999999996,0.40369999999999995,0.24719999999999998,0.3045,0.1917
1,ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,"2,415.00",0.0062,-0.009000000000000001,0.0301,0.23809999999999998,0.3613,0.5607,0.46159999999999995,0.23399999999999999,0.0,0.0
2,ITI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,5,"2,415.00",0.0059,-0.0103,0.025699999999999997,0.2275,0.3425,0.5339,0.4362,0.2109,0.0,0.0
3,Invesco India Focused Fund - Growth,Regular,Focused Fund,5,"3,249.98",0.005600000000000001,-0.0045000000000000005,0.0793,0.2494,0.4365,0.6601,0.3944,0.20620000000000002,0.0,0.0
4,JM Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,5,"4,531.48",0.0013,-0.011399999999999999,0.0077,0.2336,0.3812,0.5463,0.4362,0.2677,0.26899999999999996,0.20170000000000002
5,JM Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,5,"4,531.48",0.001,-0.0125,0.0040999999999999995,0.22460000000000002,0.3643,0.5232,0.41850000000000004,0.2539,0.2568,0.1886
6,Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"18,604.02",0.0009,0.013500000000000002,0.1014,0.3556,0.519,0.7136,0.46590000000000004,0.3577,0.35100000000000003,0.23399999999999999
7,Motilal Oswal Midcap Fund - Growth,Regular,Mid Cap Fund,5,"18,604.02",0.0007000000000000001,0.0126,0.0984,0.3483,0.5057,0.6949,0.4496,0.34259999999999996,0.3354,0.21899999999999997
8,JM Value Fund - (Direct) - Growth,Direct Plan,Value Fund,5,"1,084.63",0.0007000000000000001,-0.031400000000000004,-0.0001,0.2241,0.33520000000000005,0.49,0.4629,0.264,0.2759,0.2045
9,JM Value Fund - Growth,Regular,Value Fund,5,"1,084.63",0.0004,-0.0325,-0.0034999999999999996,0.21600000000000003,0.321,0.4721,0.44920000000000004,0.25329999999999997,0.2661,0.193
10,Bank of India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,"1,918.25",0.0003,-0.0146,-0.0125,0.1613,0.327,0.5223,0.38670000000000004,0.2288,0.0,0.0
11,ITI Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"1,162.93",-0.0003,-0.028999999999999998,-0.0194,0.2041,0.3691,0.5824,0.4075,0.23370000000000002,0.0,0.0
12,ITI Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,5,"1,162.93",-0.0006,-0.030299999999999997,-0.0236,0.1937,0.3502,0.5549000000000001,0.3814,0.2091,0.0,0.0
13,Mahindra Manulife Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"3,442.41",-0.002,-0.0154,0.0226,0.22760000000000002,0.35159999999999997,0.5194,0.42710000000000004,0.25239999999999996,0.3144,0.0
14,Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,5,"3,442.41",-0.0023,-0.0166,0.018799999999999997,0.21850000000000003,0.3356,0.49700000000000005,0.4053,0.23260000000000003,0.29350000000000004,0.0
15,Invesco India Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,"1,666.48",-0.0025,-0.011399999999999999,-0.0168,0.19469999999999998,0.38439999999999996,0.6031,0.4639,0.2846,0.3215,0.19
16,SBI Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,5,"41,326.63",-0.003,-0.0173,0.011899999999999999,0.1416,0.248,0.3979,0.3513,0.2532,0.326,0.1864
17,SBI Contra Fund - Regular Plan - Growth,Regular,Contra Fund,5,"41,326.63",-0.0031,-0.0181,0.0095,0.1361,0.23850000000000002,0.3847,0.3387,0.24230000000000002,0.3157,0.17800000000000002
18,ITI Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,5,"1,425.12",-0.0034000000000000002,-0.0255,0.0036,0.17149999999999999,0.2717,0.43810000000000004,0.358,0.191,0.204,0.0
19,ITI Multi Cap Fund - Regular Plan - Growth,Regular,Multi Cap Fund,5,"1,425.12",-0.0037,-0.0268,-0.0005,0.16210000000000002,0.2547,0.414,0.3335,0.16829999999999998,0.17989999999999998,0.0
20,SBI Long Term Equity Fund - Direct Plan - Growth,Direct Plan,ELSS,5,"28,732.52",-0.0037,-0.0174,0.023,0.1732,0.3357,0.508,0.4096,0.2505,0.2701,0.17010000000000003
21,SBI Long Term Equity Fund - Regular Plan - Growth,Regular,ELSS,5,"28,732.52",-0.0038,-0.0179,0.0212,0.16920000000000002,0.3284,0.49770000000000003,0.4,0.2422,0.2619,0.16260000000000002
22,Motilal Oswal ELSS Tax Saver Fund - Growth,Regular,ELSS,5,"4,194.64",-0.004,0.0053,0.11359999999999999,0.307,0.4607,0.6535,0.447,0.2544,0.2532,0.0
23,JM Large Cap Fund - (Direct) - Growth,Direct Plan,Large Cap Fund,5,429.06,-0.0059,-0.027999999999999997,-0.0195,0.1323,0.22469999999999998,0.3782,0.2902,0.17329999999999998,0.2036,0.1401
24,JM Large Cap Fund - Growth,Regular,Large Cap Fund,5,429.06,-0.0062,-0.029300000000000003,-0.0232,0.1241,0.2112,0.3611,0.2775,0.1624,0.1918,0.1274
25,Invesco India Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,"6,493.35",-0.0067,-0.0137,0.0654,0.2591,0.3732,0.5459,0.36229999999999996,0.20350000000000001,0.22440000000000002,0.17
26,Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,"34,432.09",-0.0067,-0.0146,0.0116,0.1401,0.22920000000000001,0.34909999999999997,0.3025,0.2006,0.225,0.16699999999999998
27,JM ELSS Tax Saver Fund - Growth,Regular,ELSS,5,186.75,-0.0068000000000000005,-0.023,0.0285,0.2386,0.3461,0.4681,0.3522,0.191,0.23190000000000002,0.1752
28,Nippon India Large Cap Fund - Growth,Regular,Large Cap Fund,5,"34,432.09",-0.0069,-0.0154,0.009300000000000001,0.135,0.2206,0.33740000000000003,0.2915,0.19039999999999999,0.2147,0.1565
29,Bandhan Core Equity Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,5,"6,982.00",-0.008100000000000001,-0.0325,0.0294,0.2026,0.32799999999999996,0.4925,0.37799999999999995,0.2257,0.2518,0.1721
30,Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,528.69,-0.0083,-0.0231,0.0024,0.185,0.33759999999999996,0.51,0.42119999999999996,0.2783,0.32909999999999995,0.19920000000000002
31,Bank of India Manufacturing & Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,528.69,-0.0085,-0.024399999999999998,-0.0014000000000000002,0.1764,0.32189999999999996,0.489,0.40240000000000004,0.2614,0.3119,0.18350000000000002
32,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,"1,335.59",-0.0092,0.0060999999999999995,-0.0189,0.10099999999999999,0.2669,0.4446,0.38420000000000004,0.1968,0.2596,0.1946
33,DSP Natural Resources and New Energy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,5,"1,335.59",-0.009399999999999999,0.0052,-0.0217,0.0949,0.25579999999999997,0.4289,0.36920000000000003,0.18350000000000002,0.24600000000000002,0.184
34,ITI ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,5,411.63,-0.0095,-0.0176,0.0203,0.20120000000000002,0.3095,0.514,0.3751,0.1962,0.0,0.0
35,Bank of India Bluechip Fund - Regular Plan - Growth,Regular,Large Cap Fund,5,198.82,-0.0097,-0.024399999999999998,-0.024399999999999998,0.0885,0.177,0.341,0.24850000000000003,0.1168,0.0,0.0
36,Bank of India Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,198.82,-0.009899999999999999,-0.0235,-0.0213,0.09519999999999999,0.1884,0.3569,0.26239999999999997,0.12990000000000002,0.0,0.0
37,HDFC Focused 30 Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,"15,109.01",-0.0126,-0.018799999999999997,0.0262,0.17980000000000002,0.2686,0.4188,0.3271,0.24989999999999998,0.2519,0.1605
38,HDFC Focused 30 Fund - Growth,Regular,Focused Fund,5,"15,109.01",-0.0128,-0.0197,0.0231,0.1728,0.2565,0.4018,0.3103,0.2336,0.237,0.14800000000000002
39,Quant Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,"3,827.97",-0.0132,-0.0335,-0.0392,0.0956,0.2757,0.48729999999999996,0.3539,0.23800000000000002,0.2949,0.215
