Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Motilal Oswal ELSS Tax Saver Fund - Growth,Regular,ELSS,5,"4,194.64",4.80%,4.66%,13.08%,29.16%,47.41%,67.52%,46.19%,26.63%,26.13%,-
Invesco India Focused Fund - Growth,Regular,Focused Fund,5,"3,249.98",2.67%,2.09%,8.39%,21.46%,43.40%,65.92%,40.41%,21.56%,-,-
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"18,604.02",2.55%,3.95%,12.64%,33.68%,52.81%,72.20%,47.21%,36.99%,35.53%,23.29%
Motilal Oswal Midcap Fund - Growth,Regular,Mid Cap Fund,5,"18,604.02",2.53%,3.86%,12.34%,32.96%,51.51%,70.32%,45.58%,35.46%,33.96%,21.80%
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,"2,415.00",1.91%,0.83%,3.44%,22.32%,35.97%,58.28%,46.18%,23.98%,-,-
ITI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,5,"2,415.00",1.88%,0.70%,3.00%,21.27%,34.13%,55.55%,43.64%,21.67%,-,-
Invesco India Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,"1,666.48",1.85%,1.00%,-2.00%,18.24%,39.06%,63.31%,46.58%,29.56%,32.67%,18.88%
Invesco India Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,"6,493.35",1.85%,2.69%,8.46%,24.30%,38.81%,57.47%,37.36%,21.72%,23.28%,17.01%
Mahindra Manulife Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"3,442.41",1.42%,1.34%,4.51%,21.61%,36.39%,54.05%,43.64%,26.74%,32.38%,-
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,5,"3,442.41",1.39%,1.22%,4.13%,20.71%,34.81%,51.78%,41.44%,24.73%,30.27%,-
ITI ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,5,411.63,1.21%,1.95%,4.48%,18.69%,32.34%,54.04%,39.58%,20.57%,-,-
Bank of India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,"1,918.25",0.75%,0.44%,-0.44%,14.69%,33.18%,53.75%,39.65%,23.96%,-,-
ITI Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,5,"1,425.12",0.73%,0.04%,1.42%,15.22%,27.91%,45.44%,37.10%,19.95%,21.08%,-
Bank of India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,5,"1,918.25",0.72%,0.31%,-0.82%,13.78%,31.62%,51.48%,37.62%,22.10%,-,-
ITI Multi Cap Fund - Regular Plan - Growth,Regular,Multi Cap Fund,5,"1,425.12",0.70%,-0.09%,1.02%,14.29%,26.23%,42.99%,34.62%,17.66%,18.66%,-
JM ELSS Tax Saver Fund - Growth,Regular,ELSS,5,186.75,0.64%,-0.34%,3.51%,22.06%,35.52%,48.91%,36.31%,20.27%,23.81%,17.51%
ITI Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"1,162.93",0.55%,-0.94%,-0.91%,18.80%,37.44%,59.73%,41.26%,24.12%,-,-
HDFC Focused 30 Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,"15,109.01",0.52%,0.96%,4.70%,17.18%,28.35%,44.00%,34.30%,26.40%,25.87%,16.05%
